Date,MKT,SMB,HML,MOM,RF
20151214,0.29,-1.05,-0.19,1.44,0
20151215,1.1,0.03,0.77,0.02,0
20151216,1.47,0.01,-0.64,-0.19,0
20151217,-1.46,0.38,-0.31,0.71,0
20151218,-1.7,0.76,-0.39,-0.78,0
20151221,0.74,-0.17,-0.06,-0.04,0
20151222,0.89,-0.04,0.51,-1.1,0
20151223,1.3,0.13,0.58,-1.91,0
20151224,-0.11,0.3,-0.03,0.09,0
20151228,-0.29,-0.48,-0.38,1.41,0
20151229,1.05,0.09,-0.31,0.23,0
20151230,-0.74,-0.17,-0.14,0.51,0
20151231,-0.92,-0.24,0.24,-0.98,0
20160104,-1.59,-0.83,0.53,-1.93,0
20160105,0.12,-0.22,0.01,0.63,0
20160106,-1.35,-0.12,-0.01,1.91,0
20160107,-2.44,-0.29,0.08,0.88,0
20160108,-1.11,-0.47,-0.03,-0.12,0
20160111,-0.06,-0.65,0.34,1.66,0
20160112,0.71,-0.4,-0.78,1.03,0
20160113,-2.67,-0.69,0.78,0.13,0
20160114,1.65,-0.01,-0.4,-0.59,0
20160115,-2.14,0.42,-0.21,0.38,0
20160119,-0.2,-1.34,-0.07,1.59,0
20160120,-0.94,1.85,-1.24,-0.03,0
20160121,0.45,-0.49,0.01,-2.7,0
20160122,2.08,0.22,-0.19,-0.18,0
20160125,-1.71,-0.36,-0.99,1.58,0
20160126,1.52,0.38,1.22,-1.96,0
20160127,-1.11,-0.54,1.71,-0.48,0
20160128,0.49,-0.47,1.25,0.38,0
20160129,2.57,0.46,0.37,-1.2,0
20160201,-0.04,-0.21,-0.95,0.38,0.001
20160202,-2,-0.03,-0.35,1.25,0.001
20160203,0.46,-0.31,0.45,-2.42,0.001
20160204,0.27,0.2,0.33,-2.16,0.001
20160205,-2.06,-1.1,1.75,-0.8,0.001
20160208,-1.51,-0.02,0.89,1.2,0.001
20160209,-0.1,-0.47,-0.28,1.84,0.001
20160210,0.01,-0.05,-0.55,0.75,0.001
20160211,-1.17,0.5,-1.47,0.53,0.001
20160212,1.98,-0.54,1.14,-1.25,0.001
20160216,1.78,0.55,-0.56,-1.38,0.001
20160217,1.75,-0.06,-0.64,-2.38,0.001
20160218,-0.51,0,0.21,0.1,0.001
20160219,0.06,0.43,-0.62,1.47,0.001
20160222,1.43,-0.27,0.24,-1.66,0.001
20160223,-1.22,0.47,-0.52,1.53,0.001
20160224,0.53,0.68,-0.33,-0.19,0.001
20160225,1.1,-0.43,0.22,0.48,0.001
20160226,-0.01,0.82,0.27,-2.06,0.001
20160229,-0.69,0.66,0.26,-0.83,0.001
20160301,2.34,-0.63,0.3,-0.17,0.001
20160302,0.54,0.5,0.7,-2.63,0.001
20160303,0.51,0.45,0.65,-2.06,0.001
20160304,0.37,0.27,0.29,-1.05,0.001
20160307,0.21,1.21,0.55,-2.41,0.001
20160308,-1.27,-1.14,-0.49,3.64,0.001
20160309,0.5,0.04,0.39,-0.1,0.001
20160310,-0.11,-0.81,0.63,0.6,0.001
20160311,1.69,0.26,0.19,-1.95,0.001
20160314,-0.12,-0.07,-0.87,-0.08,0.001
20160315,-0.36,-1.43,0.67,2.22,0.001
20160316,0.63,0.1,-0.04,-1.19,0.001
20160317,0.72,0.84,0.59,-0.9,0.001
20160318,0.54,0.34,-0.19,-0.83,0.001
20160321,0.1,-0.2,-0.31,-0.17,0.001
20160322,-0.05,-0.01,-0.44,-0.08,0.001
20160323,-0.86,-1.17,-0.09,3.18,0.001
20160324,0,0.46,-0.05,-0.57,0.001
20160328,0.04,-0.02,0.14,0.86,0.001
20160329,1.07,1.76,-1.18,-0.16,0.001
20160330,0.41,-0.28,0.15,0.07,0.001
20160331,-0.11,0.44,-0.48,-1.13,0.001
20160401,0.64,-0.25,-0.62,1.14,0
20160404,-0.41,-0.25,-0.74,0.51,0
20160405,-0.94,-0.08,-0.36,0.17,0
20160406,1.14,0.17,-0.82,-1.46,0
20160407,-1.23,-0.05,-0.35,0.28,0
20160408,0.29,0.02,0.69,-0.65,0
20160411,-0.28,-0.1,0.95,0.07,0
20160412,0.99,-0.06,0.85,-1.4,0
20160413,1.23,0.84,0.35,-1.34,0
20160414,0.03,-0.28,0.18,-0.14,0
20160415,-0.04,0.33,-0.32,0.44,0
20160418,0.65,0.09,-0.19,-0.34,0
20160419,0.29,-0.36,1.49,-0.63,0
20160420,0.15,-0.1,0.53,-1.05,0
20160421,-0.47,0.11,-0.59,-1.07,0
20160422,0.12,0.82,0.49,-1.26,0
20160425,-0.24,-0.58,-0.18,1.55,0
20160426,0.29,0.65,0.78,-0.84,0
20160427,0.21,0.09,0.68,-0.65,0
20160428,-0.96,-0.15,0.05,0.73,0
20160429,-0.5,-0.14,0.38,0.67,0
20160502,0.78,-0.01,-0.36,0.98,0.001
20160503,-1.05,-0.66,-0.5,1.61,0.001
20160504,-0.66,-0.15,0.06,1.32,0.001
20160505,-0.08,-0.5,0.09,0.27,0.001
20160506,0.38,0.05,0.24,0.34,0.001
20160509,0.05,0.36,-1.49,0.97,0.001
20160510,1.26,-0.4,0.47,-0.66,0.001
20160511,-0.89,-0.36,0.78,0.4,0.001
20160512,-0.11,-0.6,0.14,1.31,0.001
20160513,-0.82,0.38,-0.66,0.05,0.001
20160516,0.99,0.28,-0.24,-0.77,0.001
20160517,-0.95,-0.78,0.61,-1.58,0.001
20160518,0.1,0.1,0.83,0.32,0.001
20160519,-0.33,-0.32,-0.3,0.3,0.001
20160520,0.75,0.9,-0.3,-1.21,0.001
20160523,-0.18,0.26,-0.32,-0.23,0.001
20160524,1.43,0.68,-0.34,0.06,0.001
20160525,0.72,-0.21,0.57,-1.54,0.001
20160526,-0.04,-0.09,-0.51,0.44,0.001
20160527,0.49,0.33,-0.22,-0.22,0.001
20160531,-0.01,0.5,-0.36,-0.63,0.001
20160601,0.2,0.65,-0.25,-0.13,0.001
20160602,0.35,0.31,-0.59,-0.64,0.001
20160603,-0.38,-0.14,-0.1,0.62,0.001
20160606,0.6,0.68,0.32,-1.38,0.001
20160607,0.12,0.19,0.11,0,0.001
20160608,0.37,0.45,-0.11,0.56,0.001
20160609,-0.27,-0.4,-0.21,1.19,0.001
20160610,-1.05,-0.34,-0.17,1.56,0.001
20160613,-0.84,-0.36,0.1,0.23,0.001
20160614,-0.19,0.27,-0.71,0.58,0.001
20160615,-0.11,0.25,-0.06,-0.51,0.001
