Date,Volume,Close,Average
23/09/16,4407700,93.269997,93.2599985
26/09/16,10449300,91.959999,92.040001
27/09/16,9167400,91.720001,91.84
28/09/16,8272300,92.199997,91.890003
29/09/16,7476600,91.800003,92.3149985
30/09/16,8923700,92.860001,92.8499985
03/10/16,5834700,92.489998,92.385002
04/10/16,5903400,92.589996,92.5499995
05/10/16,5365000,92.449997,92.829998
06/10/16,7484800,92.830002,92.9850005
07/10/16,6144100,92.489998,92.654999
10/10/16,4241000,92.489998,92.8050005
11/10/16,6651100,91.860001,91.9749985
12/10/16,6836600,91.410004,91.7350005
13/10/16,5725200,91.120003,90.8400005
14/10/16,4345700,91.300003,91.529999
17/10/16,5134600,90.830002,91.0149995
18/10/16,4890800,91.169998,91.3600005
19/10/16,6140500,91.93,91.5699995
20/10/16,6153200,92.029999,91.880001
21/10/16,13814500,93.029999,92.395
24/10/16,7281000,93.370003,93.4750025
25/10/16,6380700,92.75,93
26/10/16,7152800,93.489998,92.8100015
27/10/16,6647000,94.019997,93.824997
28/10/16,7309100,93.849998,93.9650005
31/10/16,9957600,92.690002,93.064999
01/11/16,6449800,92.389999,92.325001
02/11/16,6716200,91.910004,92.125
03/11/16,7751400,93.370003,93.1849975
04/11/16,7456500,92.449997,93.075001
07/11/16,6996100,94.43,93.715
08/11/16,6226900,94.379997,94.375
09/11/16,8635700,94.639999,93.5149995
10/11/16,13777900,94.959999,95.1450005
11/11/16,23008100,97.68,97.0499995
14/11/16,13208400,97.919998,97.8799975
15/11/16,7184600,97.699997,97.7799985
16/11/16,9702400,99.120003,98.634998
17/11/16,8662600,99.370003,98.8849985
18/11/16,8586100,98.239998,98.755001
21/11/16,10771100,97.629997,97.6349985
22/11/16,5323700,97.709999,97.5999985
23/11/16,5897400,98.260002,97.9349975
25/11/16,4396800,98.82,98.785
28/11/16,7106700,98.970001,98.7599985
29/11/16,8396800,99.669998,99.3250005
30/11/16,11369200,99.120003,99.6450005
01/12/16,9958100,98.940002,99.1850015
02/12/16,7737200,98.5,98.665001
05/12/16,11331500,99.959999,99.4749985
06/12/16,8427500,100.660004,100.2700005
07/12/16,12255700,101.989998,101.255001
08/12/16,16524800,103.379997,102.715
